     0.000      0.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000     71.050     -0.101     -0.035      1.226     -0.090      0.310      0.000      0.660      0.030      3.000
     0.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000     68.890      1.086      0.003     -0.040     -0.049      0.931      0.000      0.035      0.034      1.000
     1.000      0.000      1.000      1.000      1.000      0.000      1.000      1.000      0.000      0.000          *     -0.201     -0.047     -0.089      1.337      0.041      0.003      0.072      0.884      4.000
     0.000      0.000      1.000          *      1.000      0.000      0.000      0.000      0.000      0.000     71.000      0.021      1.147     -0.076     -0.092      0.000      0.867      0.009      0.124      2.000
     1.000      1.000      1.000      1.000      1.000      1.000      0.000      0.000      1.000      0.000          *     -0.201     -0.047     -0.089      1.337      0.334      0.000      0.005      0.661      4.000
     1.000      0.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      0.000     59.300      1.086      0.003     -0.040     -0.049      0.903      0.000      0.074      0.024      1.000
     1.000      1.000      1.000      1.000      1.000      1.000      0.000      1.000      1.000      0.000          *      1.086      0.003     -0.040     -0.049      0.899      0.000      0.004      0.097      1.000
     1.000      1.000      1.000      0.000      1.000      1.000      1.000      1.000      1.000      0.000     66.620      1.086      0.003     -0.040     -0.049      0.978      0.000      0.010      0.012      1.000
     1.000      1.000      1.000      1.000      0.000      0.000      0.000      1.000      1.000      1.000          *     -0.201     -0.047     -0.089      1.337      0.198      0.000      0.016      0.786      4.000
     1.000      1.000      0.000      1.000      1.000      1.000      0.000      1.000      1.000      0.000     60.200      1.086      0.003     -0.040     -0.049      0.735      0.000      0.073      0.191      1.000
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      0.000     63.590      1.086      0.003     -0.040     -0.049      0.989      0.000      0.001      0.010      1.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      1.000      0.000      0.000     63.820      0.021      1.147     -0.076     -0.092      0.000      0.904      0.093      0.003      2.000
     1.000      1.000      1.000      1.000      1.000      0.000      1.000      1.000      0.000      0.000     56.010     -0.201     -0.047     -0.089      1.337      0.109      0.000      0.003      0.887      4.000
     0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000          *      0.021      1.147     -0.076     -0.092      0.000      0.996      0.003      0.001      2.000
     0.000      0.000      0.000      0.000      1.000      1.000      1.000      1.000      1.000      0.000     64.200     -0.101     -0.035      1.226     -0.090      0.003      0.000      0.996      0.001      3.000
     0.000      0.000      0.000      1.000      0.000      0.000      0.000      1.000      1.000      0.000          *     -0.101     -0.035      1.226     -0.090      0.000      0.193      0.781      0.026      3.000
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000          *      1.086      0.003     -0.040     -0.049      0.989      0.000      0.001      0.010      1.000
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000     59.840      1.086      0.003     -0.040     -0.049      0.989      0.000      0.001      0.010      1.000
     1.000      1.000      1.000      1.000      0.000      1.000      0.000      1.000      1.000      1.000     79.180      1.086      0.003     -0.040     -0.049      0.849      0.000      0.018      0.133      1.000
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000      1.000     55.870      1.086      0.003     -0.040     -0.049      0.989      0.000      0.001      0.010      1.000
